respondent_id,frame,wave,survey_month,state,income_bracket,provider_setting,open_response_text
R00087,household,2,February 2024,NY,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart."
R00088,provider,3,March 2024,PA,,center,"I see children coming in hungry, and our program scrambles to cover snacks. Managing constant schedule changes with too few people is crushing my mental health. Assistants quit when schedules change, so my employment feels precarious too."
R00089,provider,3,March 2024,IL,,center,"Affordability pressures mean delays in payments and tighter margins for the program. Staff juggle multiple jobs, and every disruption ripples through coverage. I see children coming in hungry, and our program scrambles to cover snacks."
R00090,household,3,March 2024,CO,30-60k,,"My hours were cut after too many schedule changes driven by childcare gaps. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute."
R00091,provider,3,March 2024,MI,,informal,"I am overwhelmed balancing paperwork, families, and the classroom without relief. Assistants quit when schedules change, so my employment feels precarious too. Operating costs skyrocket but families cannot absorb more tuition."
R00092,provider,1,January 2024,AL,,family_home,"Families tell me they face food insecurity, and we set up snack pantries in the classroom. We are short staffed and cannot hire assistants even after months of recruiting."
R00093,household,3,March 2024,NC,30-60k,,Food insecurity is creeping back—we rely on the pantry between paychecks.
R00094,household,3,March 2024,MA,<30k,,I water down meals for the kids when food runs low after rent and child care.
R00095,household,3,March 2024,MI,60-100k,,"I miss work every time care falls through, and my employer is losing patience. We were told staffing shortages limit the program to part-week care."
R00096,household,2,February 2024,PA,60-100k,,"I water down meals for the kids when food runs low after rent and child care. Childcare remains unaffordable, forcing us to take turns missing work."
R00097,household,3,March 2024,IL,30-60k,,"I feel burned out every week trying to cover shifts and still be a present parent. Finding after-school care is a battle every semester, and options keep shrinking. Short staffing means inconsistent caregivers and unpredictable schedules for us."
R00098,household,1,January 2024,GA,>100k,,We have been on a childcare waitlist for months after our center closed. We cannot afford reliable care when costs rise faster than wages.
R00099,household,1,January 2024,AL,>100k,,"Weekend work is non-negotiable, but there is no evening care anywhere nearby. Our center says classrooms merge because of staff shortages, leaving fewer hours. No slots open when my shifts change, so reliable childcare access feels impossible."
R00100,provider,1,January 2024,MA,,after_school,"Assistants quit when schedules change, so my employment feels precarious too. Scheduling constraints force us to close early when multiple people call out."
R00101,provider,3,March 2024,MA,,after_school,I am juggling second jobs because enrollment swings disrupt my own employment stability. Affordability pressures mean delays in payments and tighter margins for the program. Scheduling constraints force us to close early when multiple people call out.
R00102,household,2,February 2024,MI,60-100k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping."
R00103,provider,3,March 2024,NY,,center,Staff and I are emotionally drained; burnout is spreading across the team.
R00104,provider,1,January 2024,WA,,after_school,Keeping care affordable while paying staff fairly is nearly impossible. We are short staffed and cannot hire assistants even after months of recruiting.
R00105,provider,2,February 2024,NJ,,family_home,Keeping care affordable while paying staff fairly is nearly impossible.
R00106,provider,2,February 2024,OH,,center,I field calls daily from parents desperate for openings we just do not have.
R00107,household,1,January 2024,TX,60-100k,,"Childcare remains unaffordable, forcing us to take turns missing work. My hours were cut after too many schedule changes driven by childcare gaps. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute."
R00108,household,3,March 2024,CO,60-100k,,"Weekend work is non-negotiable, but there is no evening care anywhere nearby."
R00109,household,1,January 2024,CT,<30k,,"Childcare remains unaffordable, forcing us to take turns missing work. We have been on a childcare waitlist for months after our center closed. I miss work every time care falls through, and my employer is losing patience."
R00110,provider,2,February 2024,FL,,after_school,"Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Assistants quit when schedules change, so my employment feels precarious too."
R00111,household,3,March 2024,NJ,30-60k,,"Childcare remains unaffordable, forcing us to take turns missing work."
R00112,provider,2,February 2024,WA,,center,Staff and I are emotionally drained; burnout is spreading across the team. Keeping care affordable while paying staff fairly is nearly impossible. I field calls daily from parents desperate for openings we just do not have.
R00113,household,3,March 2024,AZ,>100k,,Tuition and fees are too expensive; every increase means cutting groceries. We stretch groceries and sometimes skip meals so tuition can stay current.
R00114,household,2,February 2024,FL,<30k,,"No slots open when my shifts change, so reliable childcare access feels impossible."
R00115,household,3,March 2024,FL,30-60k,,"Employment keeps getting disrupted when I have to leave early for pickups. My split shift schedule never aligns with the center's hours, so coverage falls apart. Short staffing means inconsistent caregivers and unpredictable schedules for us."
R00116,household,3,March 2024,MI,>100k,,"No slots open when my shifts change, so reliable childcare access feels impossible."
R00117,provider,1,January 2024,NC,,family_home,I field calls daily from parents desperate for openings we just do not have.
R00118,household,1,January 2024,CO,>100k,,The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping.
R00119,household,1,January 2024,OH,60-100k,,"Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve. Finding after-school care is a battle every semester, and options keep shrinking."
R00120,provider,1,January 2024,OH,,after_school,"No substitutes are available, so I cover multiple classrooms daily."
R00121,household,1,January 2024,FL,60-100k,,"Finding after-school care is a battle every semester, and options keep shrinking."
R00122,household,3,March 2024,IL,<30k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. My hours were cut after too many schedule changes driven by childcare gaps."
R00123,household,1,January 2024,CT,30-60k,,"The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Weekend work is non-negotiable, but there is no evening care anywhere nearby."
R00124,household,2,February 2024,TX,<30k,,"We cannot afford reliable care when costs rise faster than wages. I miss work every time care falls through, and my employer is losing patience. We stretch groceries and sometimes skip meals so tuition can stay current."
R00125,household,2,February 2024,PA,<30k,,Tuition and fees are too expensive; every increase means cutting groceries.
R00126,household,2,February 2024,GA,60-100k,,"We have been on a childcare waitlist for months after our center closed. Our center says classrooms merge because of staff shortages, leaving fewer hours."
R00127,household,1,January 2024,TX,60-100k,,We have been on a childcare waitlist for months after our center closed. We stretch groceries and sometimes skip meals so tuition can stay current.
R00128,household,3,March 2024,MA,60-100k,,"We stretch groceries and sometimes skip meals so tuition can stay current. My split shift schedule never aligns with the center's hours, so coverage falls apart."
R00129,provider,1,January 2024,AZ,,center,We are short staffed and cannot hire assistants even after months of recruiting.
R00130,household,3,March 2024,NC,<30k,,Tuition and fees are too expensive; every increase means cutting groceries.
R00131,provider,2,February 2024,MA,,after_school,Affordability pressures mean delays in payments and tighter margins for the program.
R00132,household,3,March 2024,OH,>100k,,We stretch groceries and sometimes skip meals so tuition can stay current.
R00133,household,3,March 2024,WA,>100k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We have been on a childcare waitlist for months after our center closed."
R00134,provider,1,January 2024,AZ,,center,Operating costs skyrocket but families cannot absorb more tuition. I field calls daily from parents desperate for openings we just do not have.
R00135,household,1,January 2024,NY,<30k,,Employment keeps getting disrupted when I have to leave early for pickups. I water down meals for the kids when food runs low after rent and child care.
R00136,provider,3,March 2024,PA,,after_school,"I see children coming in hungry, and our program scrambles to cover snacks."
R00137,household,3,March 2024,CA,60-100k,,I water down meals for the kids when food runs low after rent and child care.
R00138,provider,2,February 2024,CT,,center,Keeping care affordable while paying staff fairly is nearly impossible.
R00139,household,2,February 2024,CA,>100k,,"Weekend work is non-negotiable, but there is no evening care anywhere nearby."
R00140,household,2,February 2024,CO,<30k,,We cannot afford reliable care when costs rise faster than wages.
R00141,household,2,February 2024,NJ,60-100k,,The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping.
R00142,household,2,February 2024,PA,30-60k,,We cannot afford reliable care when costs rise faster than wages. I water down meals for the kids when food runs low after rent and child care. We were told staffing shortages limit the program to part-week care.
R00143,provider,3,March 2024,MI,,informal,"Staff juggle multiple jobs, and every disruption ripples through coverage. Staff and I are emotionally drained; burnout is spreading across the team. Families want more slots than we can offer; access breaks down when staff call out."
R00144,household,3,March 2024,IL,<30k,,"My hours were cut after too many schedule changes driven by childcare gaps. My split shift schedule never aligns with the center's hours, so coverage falls apart."
R00145,household,3,March 2024,GA,<30k,,"Childcare remains unaffordable, forcing us to take turns missing work. We stretch groceries and sometimes skip meals so tuition can stay current. My split shift schedule never aligns with the center's hours, so coverage falls apart."
R00146,household,3,March 2024,NY,>100k,,We have been on a childcare waitlist for months after our center closed. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.
R00147,provider,2,February 2024,OH,,family_home,"I am overwhelmed balancing paperwork, families, and the classroom without relief. Open positions stay vacant, forcing us to cap enrollment and reduce hours."
R00148,provider,2,February 2024,AZ,,center,"Operating costs skyrocket but families cannot absorb more tuition. Staff juggle multiple jobs, and every disruption ripples through coverage."
R00149,household,3,March 2024,NY,>100k,,"My hours were cut after too many schedule changes driven by childcare gaps. No slots open when my shifts change, so reliable childcare access feels impossible."
R00150,household,2,February 2024,GA,60-100k,,"Tuition and fees are too expensive; every increase means cutting groceries. Our center says classrooms merge because of staff shortages, leaving fewer hours."
R00151,household,2,February 2024,GA,<30k,,We stretch groceries and sometimes skip meals so tuition can stay current.
R00152,household,3,March 2024,AL,<30k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. Short staffing means inconsistent caregivers and unpredictable schedules for us. Tuition and fees are too expensive; every increase means cutting groceries."
R00153,household,3,March 2024,CO,30-60k,,We cannot afford reliable care when costs rise faster than wages.
R00154,household,1,January 2024,AL,>100k,,Food insecurity is creeping back—we rely on the pantry between paychecks. Employment keeps getting disrupted when I have to leave early for pickups.
R00155,household,1,January 2024,CA,60-100k,,"Finding after-school care is a battle every semester, and options keep shrinking."
R00156,provider,1,January 2024,WA,,after_school,"Assistants quit when schedules change, so my employment feels precarious too. We are short staffed and cannot hire assistants even after months of recruiting."
R00157,household,1,January 2024,MI,<30k,,"My hours were cut after too many schedule changes driven by childcare gaps. My split shift schedule never aligns with the center's hours, so coverage falls apart. Our center says classrooms merge because of staff shortages, leaving fewer hours."
R00158,household,1,January 2024,AZ,30-60k,,"Short staffing means inconsistent caregivers and unpredictable schedules for us. Employment keeps getting disrupted when I have to leave early for pickups. No slots open when my shifts change, so reliable childcare access feels impossible."
R00159,provider,1,January 2024,OH,,center,"Families want more slots than we can offer; access breaks down when staff call out. Open positions stay vacant, forcing us to cap enrollment and reduce hours."
R00160,household,2,February 2024,CT,60-100k,,"I miss work every time care falls through, and my employer is losing patience. Food insecurity is creeping back—we rely on the pantry between paychecks."
R00161,household,3,March 2024,NY,>100k,,"Weekend work is non-negotiable, but there is no evening care anywhere nearby. Short staffing means inconsistent caregivers and unpredictable schedules for us."
R00162,household,1,January 2024,CT,<30k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart."
R00163,provider,3,March 2024,FL,,family_home,Affordability pressures mean delays in payments and tighter margins for the program. I field calls daily from parents desperate for openings we just do not have.
R00164,household,2,February 2024,GA,>100k,,I feel burned out every week trying to cover shifts and still be a present parent.
R00165,provider,1,January 2024,CA,,family_home,"Managing constant schedule changes with too few people is crushing my mental health. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff."
R00166,household,3,March 2024,TX,30-60k,,"Short staffing means inconsistent caregivers and unpredictable schedules for us. No slots open when my shifts change, so reliable childcare access feels impossible."
R00167,provider,1,January 2024,CA,,informal,"Open positions stay vacant, forcing us to cap enrollment and reduce hours. I field calls daily from parents desperate for openings we just do not have. I see children coming in hungry, and our program scrambles to cover snacks."
R00168,household,3,March 2024,FL,60-100k,,"We cannot afford reliable care when costs rise faster than wages. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute."
R00169,household,1,January 2024,TX,30-60k,,Employment keeps getting disrupted when I have to leave early for pickups.
R00170,provider,1,January 2024,CT,,center,"Our center closed classrooms temporarily, so neighborhood access evaporated."
R00171,household,2,February 2024,CA,60-100k,,"No slots open when my shifts change, so reliable childcare access feels impossible. We stretch groceries and sometimes skip meals so tuition can stay current."
R00172,provider,3,March 2024,IL,,family_home,Managing constant schedule changes with too few people is crushing my mental health. Keeping care affordable while paying staff fairly is nearly impossible.
R00173,household,2,February 2024,CO,60-100k,,"Tuition and fees are too expensive; every increase means cutting groceries. Employment keeps getting disrupted when I have to leave early for pickups. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute."
R00174,provider,3,March 2024,IL,,family_home,I field calls daily from parents desperate for openings we just do not have. Food budgets for the program are maxed out while families ask for extra meals.
R00175,provider,2,February 2024,GA,,family_home,"Managing constant schedule changes with too few people is crushing my mental health. Open positions stay vacant, forcing us to cap enrollment and reduce hours."
R00176,household,3,March 2024,CO,30-60k,,"No slots open when my shifts change, so reliable childcare access feels impossible. I miss work every time care falls through, and my employer is losing patience."
R00177,household,1,January 2024,FL,60-100k,,We have been on a childcare waitlist for months after our center closed. We were told staffing shortages limit the program to part-week care. Tuition and fees are too expensive; every increase means cutting groceries.
R00178,provider,3,March 2024,PA,,center,Food budgets for the program are maxed out while families ask for extra meals. Operating costs skyrocket but families cannot absorb more tuition. Staff and I are emotionally drained; burnout is spreading across the team.
R00179,provider,1,January 2024,TX,,center,"Staff juggle multiple jobs, and every disruption ripples through coverage. Affordability pressures mean delays in payments and tighter margins for the program. Coordinating staggered shifts with limited staff feels impossible."
R00180,household,1,January 2024,NC,30-60k,,My hours were cut after too many schedule changes driven by childcare gaps. We have been on a childcare waitlist for months after our center closed. We cannot afford reliable care when costs rise faster than wages.
R00181,provider,2,February 2024,WA,,center,"Food budgets for the program are maxed out while families ask for extra meals. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff."
R00182,household,1,January 2024,NJ,60-100k,,"I miss work every time care falls through, and my employer is losing patience. No slots open when my shifts change, so reliable childcare access feels impossible."
R00183,provider,3,March 2024,FL,,after_school,"Staff juggle multiple jobs, and every disruption ripples through coverage. Staff and I are emotionally drained; burnout is spreading across the team. Coordinating staggered shifts with limited staff feels impossible."
R00184,household,3,March 2024,CT,60-100k,,"No slots open when my shifts change, so reliable childcare access feels impossible. Food insecurity is creeping back—we rely on the pantry between paychecks."
R00185,household,1,January 2024,CO,60-100k,,"Weekend work is non-negotiable, but there is no evening care anywhere nearby."
R00186,household,1,January 2024,AL,60-100k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute."
R00187,household,3,March 2024,AZ,>100k,,"We stretch groceries and sometimes skip meals so tuition can stay current. My split shift schedule never aligns with the center's hours, so coverage falls apart."
R00188,household,2,February 2024,PA,>100k,,Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Tuition and fees are too expensive; every increase means cutting groceries.
R00189,provider,1,January 2024,NJ,,center,"Affordability pressures mean delays in payments and tighter margins for the program. I see children coming in hungry, and our program scrambles to cover snacks. I am juggling second jobs because enrollment swings disrupt my own employment stability."
R00190,provider,2,February 2024,OH,,after_school,Coordinating staggered shifts with limited staff feels impossible. Staff and I are emotionally drained; burnout is spreading across the team.
R00191,provider,1,January 2024,CA,,center,"Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. I see children coming in hungry, and our program scrambles to cover snacks. I field calls daily from parents desperate for openings we just do not have."
R00192,household,1,January 2024,OH,60-100k,,We have been on a childcare waitlist for months after our center closed. Employment keeps getting disrupted when I have to leave early for pickups. We were told staffing shortages limit the program to part-week care.
R00193,household,3,March 2024,CO,<30k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. My split shift schedule never aligns with the center's hours, so coverage falls apart. No slots open when my shifts change, so reliable childcare access feels impossible."
