respondent_id,frame,wave,survey_month,state,open_response_text,cleaned_text,theme
R00007,household,2,February 2024,MI,"I miss work every time care falls through, and my employer is losing patience. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.",i miss work every time care falls through my employer losing patience my partner i exhausted constantly anxious about childcare collapsing last minute coordinating schedules my partner provider weekly puzzle rarely solve,SCHEDULING_CONSTRAINTS
R00007,household,2,February 2024,MI,"I miss work every time care falls through, and my employer is losing patience. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.",i miss work every time care falls through my employer losing patience my partner i exhausted constantly anxious about childcare collapsing last minute coordinating schedules my partner provider weekly puzzle rarely solve,STRESS_BURNOUT
R00008,provider,3,March 2024,GA,"Assistants quit when schedules change, so my employment feels precarious too.",assistants quit when schedules change so my employment feels precarious too,EMPLOYMENT_DISRUPTION
R00008,provider,3,March 2024,GA,"Assistants quit when schedules change, so my employment feels precarious too.",assistants quit when schedules change so my employment feels precarious too,SCHEDULING_CONSTRAINTS
R00009,household,1,January 2024,OH,Short staffing means inconsistent caregivers and unpredictable schedules for us.,short staffing means inconsistent caregivers unpredictable schedules us,SCHEDULING_CONSTRAINTS
R00010,provider,1,January 2024,OH,Staff and I are emotionally drained; burnout is spreading across the team. Operating costs skyrocket but families cannot absorb more tuition.,staff i emotionally drained burnout spreading across team operating costs skyrocket but families cannot absorb more tuition,AFFORDABILITY
R00011,provider,2,February 2024,MA,"No substitutes are available, so I cover multiple classrooms daily.",no substitutes available so i cover multiple classrooms daily,PROVIDER_STAFF_SHORTAGE
R00012,household,2,February 2024,AZ,"I feel burned out every week trying to cover shifts and still be a present parent. Childcare remains unaffordable, forcing us to take turns missing work.",i feel burned out every week trying cover shifts still present parent childcare remains unaffordable forcing us take turns missing work,AFFORDABILITY
R00012,household,2,February 2024,AZ,"I feel burned out every week trying to cover shifts and still be a present parent. Childcare remains unaffordable, forcing us to take turns missing work.",i feel burned out every week trying cover shifts still present parent childcare remains unaffordable forcing us take turns missing work,EMPLOYMENT_DISRUPTION
R00012,household,2,February 2024,AZ,"I feel burned out every week trying to cover shifts and still be a present parent. Childcare remains unaffordable, forcing us to take turns missing work.",i feel burned out every week trying cover shifts still present parent childcare remains unaffordable forcing us take turns missing work,STRESS_BURNOUT
R00013,household,1,January 2024,WA,"Our center says classrooms merge because of staff shortages, leaving fewer hours. I feel burned out every week trying to cover shifts and still be a present parent. My hours were cut after too many schedule changes driven by childcare gaps.",our center says classrooms merge because staff shortages leaving fewer hours i feel burned out every week trying cover shifts still present parent my hours were cut after too many schedule changes driven childcare gaps,EMPLOYMENT_DISRUPTION
R00013,household,1,January 2024,WA,"Our center says classrooms merge because of staff shortages, leaving fewer hours. I feel burned out every week trying to cover shifts and still be a present parent. My hours were cut after too many schedule changes driven by childcare gaps.",our center says classrooms merge because staff shortages leaving fewer hours i feel burned out every week trying cover shifts still present parent my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS
R00013,household,1,January 2024,WA,"Our center says classrooms merge because of staff shortages, leaving fewer hours. I feel burned out every week trying to cover shifts and still be a present parent. My hours were cut after too many schedule changes driven by childcare gaps.",our center says classrooms merge because staff shortages leaving fewer hours i feel burned out every week trying cover shifts still present parent my hours were cut after too many schedule changes driven childcare gaps,STRESS_BURNOUT
R00014,household,2,February 2024,OH,"We have been on a childcare waitlist for months after our center closed. My split shift schedule never aligns with the center's hours, so coverage falls apart.",have been childcare waitlist months after our center closed my split shift schedule never aligns center s hours so coverage falls apart,CHILDCARE_ACCESS
R00014,household,2,February 2024,OH,"We have been on a childcare waitlist for months after our center closed. My split shift schedule never aligns with the center's hours, so coverage falls apart.",have been childcare waitlist months after our center closed my split shift schedule never aligns center s hours so coverage falls apart,EMPLOYMENT_DISRUPTION
R00014,household,2,February 2024,OH,"We have been on a childcare waitlist for months after our center closed. My split shift schedule never aligns with the center's hours, so coverage falls apart.",have been childcare waitlist months after our center closed my split shift schedule never aligns center s hours so coverage falls apart,SCHEDULING_CONSTRAINTS
R00015,household,1,January 2024,AZ,"Finding after-school care is a battle every semester, and options keep shrinking. I miss work every time care falls through, and my employer is losing patience. Food insecurity is creeping back—we rely on the pantry between paychecks.",finding after school care battle every semester options keep shrinking i miss work every time care falls through my employer losing patience food insecurity creeping back rely pantry between paychecks,CHILDCARE_ACCESS
R00015,household,1,January 2024,AZ,"Finding after-school care is a battle every semester, and options keep shrinking. I miss work every time care falls through, and my employer is losing patience. Food insecurity is creeping back—we rely on the pantry between paychecks.",finding after school care battle every semester options keep shrinking i miss work every time care falls through my employer losing patience food insecurity creeping back rely pantry between paychecks,EMPLOYMENT_DISRUPTION
R00015,household,1,January 2024,AZ,"Finding after-school care is a battle every semester, and options keep shrinking. I miss work every time care falls through, and my employer is losing patience. Food insecurity is creeping back—we rely on the pantry between paychecks.",finding after school care battle every semester options keep shrinking i miss work every time care falls through my employer losing patience food insecurity creeping back rely pantry between paychecks,FOOD_INSECURITY
R00016,household,3,March 2024,CA,My hours were cut after too many schedule changes driven by childcare gaps. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.,my hours were cut after too many schedule changes driven childcare gaps coordinating schedules my partner provider weekly puzzle rarely solve,SCHEDULING_CONSTRAINTS
R00017,household,1,January 2024,FL,"Childcare remains unaffordable, forcing us to take turns missing work. I miss work every time care falls through, and my employer is losing patience. Finding after-school care is a battle every semester, and options keep shrinking.",childcare remains unaffordable forcing us take turns missing work i miss work every time care falls through my employer losing patience finding after school care battle every semester options keep shrinking,AFFORDABILITY
R00017,household,1,January 2024,FL,"Childcare remains unaffordable, forcing us to take turns missing work. I miss work every time care falls through, and my employer is losing patience. Finding after-school care is a battle every semester, and options keep shrinking.",childcare remains unaffordable forcing us take turns missing work i miss work every time care falls through my employer losing patience finding after school care battle every semester options keep shrinking,CHILDCARE_ACCESS
R00017,household,1,January 2024,FL,"Childcare remains unaffordable, forcing us to take turns missing work. I miss work every time care falls through, and my employer is losing patience. Finding after-school care is a battle every semester, and options keep shrinking.",childcare remains unaffordable forcing us take turns missing work i miss work every time care falls through my employer losing patience finding after school care battle every semester options keep shrinking,EMPLOYMENT_DISRUPTION
R00018,provider,3,March 2024,IL,Managing constant schedule changes with too few people is crushing my mental health.,managing constant schedule changes too few people crushing my mental health,SCHEDULING_CONSTRAINTS
R00018,provider,3,March 2024,IL,Managing constant schedule changes with too few people is crushing my mental health.,managing constant schedule changes too few people crushing my mental health,STRESS_BURNOUT
R00019,household,3,March 2024,NJ,Short staffing means inconsistent caregivers and unpredictable schedules for us.,short staffing means inconsistent caregivers unpredictable schedules us,SCHEDULING_CONSTRAINTS
R00020,household,2,February 2024,PA,"My split shift schedule never aligns with the center's hours, so coverage falls apart. My hours were cut after too many schedule changes driven by childcare gaps.",my split shift schedule never aligns center s hours so coverage falls apart my hours were cut after too many schedule changes driven childcare gaps,EMPLOYMENT_DISRUPTION
R00020,household,2,February 2024,PA,"My split shift schedule never aligns with the center's hours, so coverage falls apart. My hours were cut after too many schedule changes driven by childcare gaps.",my split shift schedule never aligns center s hours so coverage falls apart my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS
R00021,household,1,January 2024,NJ,"I miss work every time care falls through, and my employer is losing patience. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. No slots open when my shifts change, so reliable childcare access feels impossible.",i miss work every time care falls through my employer losing patience stress juggling work caregiving overwhelming my mental health keeps slipping no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS
R00021,household,1,January 2024,NJ,"I miss work every time care falls through, and my employer is losing patience. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. No slots open when my shifts change, so reliable childcare access feels impossible.",i miss work every time care falls through my employer losing patience stress juggling work caregiving overwhelming my mental health keeps slipping no slots open when my shifts change so reliable childcare access feels impossible,EMPLOYMENT_DISRUPTION
R00021,household,1,January 2024,NJ,"I miss work every time care falls through, and my employer is losing patience. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. No slots open when my shifts change, so reliable childcare access feels impossible.",i miss work every time care falls through my employer losing patience stress juggling work caregiving overwhelming my mental health keeps slipping no slots open when my shifts change so reliable childcare access feels impossible,STRESS_BURNOUT
R00022,household,1,January 2024,CA,"Food insecurity is creeping back—we rely on the pantry between paychecks. Weekend work is non-negotiable, but there is no evening care anywhere nearby.",food insecurity creeping back rely pantry between paychecks weekend work non negotiable but there no evening care anywhere nearby,FOOD_INSECURITY
R00022,household,1,January 2024,CA,"Food insecurity is creeping back—we rely on the pantry between paychecks. Weekend work is non-negotiable, but there is no evening care anywhere nearby.",food insecurity creeping back rely pantry between paychecks weekend work non negotiable but there no evening care anywhere nearby,SCHEDULING_CONSTRAINTS
R00023,household,2,February 2024,FL,"No slots open when my shifts change, so reliable childcare access feels impossible.",no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS
R00023,household,2,February 2024,FL,"No slots open when my shifts change, so reliable childcare access feels impossible.",no slots open when my shifts change so reliable childcare access feels impossible,EMPLOYMENT_DISRUPTION
R00024,provider,1,January 2024,AZ,"Coordinating staggered shifts with limited staff feels impossible. No substitutes are available, so I cover multiple classrooms daily. I field calls daily from parents desperate for openings we just do not have.",coordinating staggered shifts limited staff feels impossible no substitutes available so i cover multiple classrooms daily i field calls daily parents desperate openings just do not have,EMPLOYMENT_DISRUPTION
R00024,provider,1,January 2024,AZ,"Coordinating staggered shifts with limited staff feels impossible. No substitutes are available, so I cover multiple classrooms daily. I field calls daily from parents desperate for openings we just do not have.",coordinating staggered shifts limited staff feels impossible no substitutes available so i cover multiple classrooms daily i field calls daily parents desperate openings just do not have,PROVIDER_STAFF_SHORTAGE
R00025,household,1,January 2024,MI,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We stretch groceries and sometimes skip meals so tuition can stay current.",my partner i exhausted constantly anxious about childcare collapsing last minute stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY
R00025,household,1,January 2024,MI,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We stretch groceries and sometimes skip meals so tuition can stay current.",my partner i exhausted constantly anxious about childcare collapsing last minute stretch groceries sometimes skip meals so tuition can stay current,FOOD_INSECURITY
R00025,household,1,January 2024,MI,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We stretch groceries and sometimes skip meals so tuition can stay current.",my partner i exhausted constantly anxious about childcare collapsing last minute stretch groceries sometimes skip meals so tuition can stay current,STRESS_BURNOUT
R00026,household,3,March 2024,FL,"I miss work every time care falls through, and my employer is losing patience. Tuition and fees are too expensive; every increase means cutting groceries.",i miss work every time care falls through my employer losing patience tuition fees too expensive every increase means cutting groceries,AFFORDABILITY
R00026,household,3,March 2024,FL,"I miss work every time care falls through, and my employer is losing patience. Tuition and fees are too expensive; every increase means cutting groceries.",i miss work every time care falls through my employer losing patience tuition fees too expensive every increase means cutting groceries,EMPLOYMENT_DISRUPTION
R00026,household,3,March 2024,FL,"I miss work every time care falls through, and my employer is losing patience. Tuition and fees are too expensive; every increase means cutting groceries.",i miss work every time care falls through my employer losing patience tuition fees too expensive every increase means cutting groceries,FOOD_INSECURITY
R00027,provider,2,February 2024,TX,"We are short staffed and cannot hire assistants even after months of recruiting. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Affordability pressures mean delays in payments and tighter margins for the program.",short staffed cannot hire assistants even after months recruiting families need nights weekend coverage but cannot stretch schedules without burning out staff affordability pressures mean delays payments tighter margins program,AFFORDABILITY
R00027,provider,2,February 2024,TX,"We are short staffed and cannot hire assistants even after months of recruiting. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Affordability pressures mean delays in payments and tighter margins for the program.",short staffed cannot hire assistants even after months recruiting families need nights weekend coverage but cannot stretch schedules without burning out staff affordability pressures mean delays payments tighter margins program,PROVIDER_STAFF_SHORTAGE
R00027,provider,2,February 2024,TX,"We are short staffed and cannot hire assistants even after months of recruiting. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Affordability pressures mean delays in payments and tighter margins for the program.",short staffed cannot hire assistants even after months recruiting families need nights weekend coverage but cannot stretch schedules without burning out staff affordability pressures mean delays payments tighter margins program,SCHEDULING_CONSTRAINTS
R00028,household,1,January 2024,PA,"Weekend work is non-negotiable, but there is no evening care anywhere nearby. Food insecurity is creeping back—we rely on the pantry between paychecks. We were told staffing shortages limit the program to part-week care.",weekend work non negotiable but there no evening care anywhere nearby food insecurity creeping back rely pantry between paychecks were told staffing shortages limit program part week care,FOOD_INSECURITY
R00028,household,1,January 2024,PA,"Weekend work is non-negotiable, but there is no evening care anywhere nearby. Food insecurity is creeping back—we rely on the pantry between paychecks. We were told staffing shortages limit the program to part-week care.",weekend work non negotiable but there no evening care anywhere nearby food insecurity creeping back rely pantry between paychecks were told staffing shortages limit program part week care,SCHEDULING_CONSTRAINTS
R00029,provider,1,January 2024,CO,"Our center closed classrooms temporarily, so neighborhood access evaporated.",our center closed classrooms temporarily so neighborhood access evaporated,CHILDCARE_ACCESS
R00030,provider,1,January 2024,TX,"Coordinating staggered shifts with limited staff feels impossible. Families tell me they face food insecurity, and we set up snack pantries in the classroom. I am juggling second jobs because enrollment swings disrupt my own employment stability.",coordinating staggered shifts limited staff feels impossible families tell me they face food insecurity set up snack pantries classroom i am juggling second jobs because enrollment swings disrupt my own employment stability,EMPLOYMENT_DISRUPTION
R00030,provider,1,January 2024,TX,"Coordinating staggered shifts with limited staff feels impossible. Families tell me they face food insecurity, and we set up snack pantries in the classroom. I am juggling second jobs because enrollment swings disrupt my own employment stability.",coordinating staggered shifts limited staff feels impossible families tell me they face food insecurity set up snack pantries classroom i am juggling second jobs because enrollment swings disrupt my own employment stability,FOOD_INSECURITY
R00031,provider,3,March 2024,GA,We are short staffed and cannot hire assistants even after months of recruiting. I am juggling second jobs because enrollment swings disrupt my own employment stability.,short staffed cannot hire assistants even after months recruiting i am juggling second jobs because enrollment swings disrupt my own employment stability,EMPLOYMENT_DISRUPTION
R00031,provider,3,March 2024,GA,We are short staffed and cannot hire assistants even after months of recruiting. I am juggling second jobs because enrollment swings disrupt my own employment stability.,short staffed cannot hire assistants even after months recruiting i am juggling second jobs because enrollment swings disrupt my own employment stability,PROVIDER_STAFF_SHORTAGE
R00032,household,3,March 2024,AL,"My split shift schedule never aligns with the center's hours, so coverage falls apart.",my split shift schedule never aligns center s hours so coverage falls apart,EMPLOYMENT_DISRUPTION
R00032,household,3,March 2024,AL,"My split shift schedule never aligns with the center's hours, so coverage falls apart.",my split shift schedule never aligns center s hours so coverage falls apart,SCHEDULING_CONSTRAINTS
R00033,household,2,February 2024,NC,We stretch groceries and sometimes skip meals so tuition can stay current.,stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY
R00033,household,2,February 2024,NC,We stretch groceries and sometimes skip meals so tuition can stay current.,stretch groceries sometimes skip meals so tuition can stay current,FOOD_INSECURITY
R00034,provider,1,January 2024,FL,"Staff and I are emotionally drained; burnout is spreading across the team. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Families want more slots than we can offer; access breaks down when staff call out.",staff i emotionally drained burnout spreading across team families need nights weekend coverage but cannot stretch schedules without burning out staff families want more slots than can offer access breaks down when staff call out,SCHEDULING_CONSTRAINTS
R00035,provider,3,March 2024,CA,Scheduling constraints force us to close early when multiple people call out. Keeping care affordable while paying staff fairly is nearly impossible. I am juggling second jobs because enrollment swings disrupt my own employment stability.,scheduling constraints force us close early when multiple people call out keeping care affordable while paying staff fairly nearly impossible i am juggling second jobs because enrollment swings disrupt my own employment stability,AFFORDABILITY
R00035,provider,3,March 2024,CA,Scheduling constraints force us to close early when multiple people call out. Keeping care affordable while paying staff fairly is nearly impossible. I am juggling second jobs because enrollment swings disrupt my own employment stability.,scheduling constraints force us close early when multiple people call out keeping care affordable while paying staff fairly nearly impossible i am juggling second jobs because enrollment swings disrupt my own employment stability,EMPLOYMENT_DISRUPTION
R00036,provider,3,March 2024,PA,Keeping care affordable while paying staff fairly is nearly impossible.,keeping care affordable while paying staff fairly nearly impossible,AFFORDABILITY
R00037,household,3,March 2024,FL,We cannot afford reliable care when costs rise faster than wages. We have been on a childcare waitlist for months after our center closed.,cannot afford reliable care when costs rise faster than wages have been childcare waitlist months after our center closed,AFFORDABILITY
R00037,household,3,March 2024,FL,We cannot afford reliable care when costs rise faster than wages. We have been on a childcare waitlist for months after our center closed.,cannot afford reliable care when costs rise faster than wages have been childcare waitlist months after our center closed,CHILDCARE_ACCESS
R00039,household,1,January 2024,NY,"Employment keeps getting disrupted when I have to leave early for pickups. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute.",employment keeps getting disrupted when i have leave early pickups my partner i exhausted constantly anxious about childcare collapsing last minute,EMPLOYMENT_DISRUPTION
R00039,household,1,January 2024,NY,"Employment keeps getting disrupted when I have to leave early for pickups. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute.",employment keeps getting disrupted when i have leave early pickups my partner i exhausted constantly anxious about childcare collapsing last minute,STRESS_BURNOUT
R00040,household,3,March 2024,NC,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We cannot afford reliable care when costs rise faster than wages. We have been on a childcare waitlist for months after our center closed.",my partner i exhausted constantly anxious about childcare collapsing last minute cannot afford reliable care when costs rise faster than wages have been childcare waitlist months after our center closed,AFFORDABILITY
R00040,household,3,March 2024,NC,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We cannot afford reliable care when costs rise faster than wages. We have been on a childcare waitlist for months after our center closed.",my partner i exhausted constantly anxious about childcare collapsing last minute cannot afford reliable care when costs rise faster than wages have been childcare waitlist months after our center closed,CHILDCARE_ACCESS
R00040,household,3,March 2024,NC,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We cannot afford reliable care when costs rise faster than wages. We have been on a childcare waitlist for months after our center closed.",my partner i exhausted constantly anxious about childcare collapsing last minute cannot afford reliable care when costs rise faster than wages have been childcare waitlist months after our center closed,STRESS_BURNOUT
R00041,household,3,March 2024,NC,"I water down meals for the kids when food runs low after rent and child care. No slots open when my shifts change, so reliable childcare access feels impossible. Tuition and fees are too expensive; every increase means cutting groceries.",i water down meals kids when food runs low after rent child care no slots open when my shifts change so reliable childcare access feels impossible tuition fees too expensive every increase means cutting groceries,AFFORDABILITY
R00041,household,3,March 2024,NC,"I water down meals for the kids when food runs low after rent and child care. No slots open when my shifts change, so reliable childcare access feels impossible. Tuition and fees are too expensive; every increase means cutting groceries.",i water down meals kids when food runs low after rent child care no slots open when my shifts change so reliable childcare access feels impossible tuition fees too expensive every increase means cutting groceries,CHILDCARE_ACCESS
R00041,household,3,March 2024,NC,"I water down meals for the kids when food runs low after rent and child care. No slots open when my shifts change, so reliable childcare access feels impossible. Tuition and fees are too expensive; every increase means cutting groceries.",i water down meals kids when food runs low after rent child care no slots open when my shifts change so reliable childcare access feels impossible tuition fees too expensive every increase means cutting groceries,EMPLOYMENT_DISRUPTION
R00041,household,3,March 2024,NC,"I water down meals for the kids when food runs low after rent and child care. No slots open when my shifts change, so reliable childcare access feels impossible. Tuition and fees are too expensive; every increase means cutting groceries.",i water down meals kids when food runs low after rent child care no slots open when my shifts change so reliable childcare access feels impossible tuition fees too expensive every increase means cutting groceries,FOOD_INSECURITY
R00042,provider,2,February 2024,CT,Food budgets for the program are maxed out while families ask for extra meals. Scheduling constraints force us to close early when multiple people call out.,food budgets program maxed out while families ask extra meals scheduling constraints force us close early when multiple people call out,FOOD_INSECURITY
R00043,household,3,March 2024,PA,We have been on a childcare waitlist for months after our center closed.,have been childcare waitlist months after our center closed,CHILDCARE_ACCESS
R00044,provider,1,January 2024,FL,"Affordability pressures mean delays in payments and tighter margins for the program. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Assistants quit when schedules change, so my employment feels precarious too.",affordability pressures mean delays payments tighter margins program families tell me they face food insecurity set up snack pantries classroom assistants quit when schedules change so my employment feels precarious too,AFFORDABILITY
R00044,provider,1,January 2024,FL,"Affordability pressures mean delays in payments and tighter margins for the program. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Assistants quit when schedules change, so my employment feels precarious too.",affordability pressures mean delays payments tighter margins program families tell me they face food insecurity set up snack pantries classroom assistants quit when schedules change so my employment feels precarious too,EMPLOYMENT_DISRUPTION
R00044,provider,1,January 2024,FL,"Affordability pressures mean delays in payments and tighter margins for the program. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Assistants quit when schedules change, so my employment feels precarious too.",affordability pressures mean delays payments tighter margins program families tell me they face food insecurity set up snack pantries classroom assistants quit when schedules change so my employment feels precarious too,FOOD_INSECURITY
R00044,provider,1,January 2024,FL,"Affordability pressures mean delays in payments and tighter margins for the program. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Assistants quit when schedules change, so my employment feels precarious too.",affordability pressures mean delays payments tighter margins program families tell me they face food insecurity set up snack pantries classroom assistants quit when schedules change so my employment feels precarious too,SCHEDULING_CONSTRAINTS
R00046,household,2,February 2024,NJ,I water down meals for the kids when food runs low after rent and child care. We were told staffing shortages limit the program to part-week care. We cannot afford reliable care when costs rise faster than wages.,i water down meals kids when food runs low after rent child care were told staffing shortages limit program part week care cannot afford reliable care when costs rise faster than wages,AFFORDABILITY
R00047,household,1,January 2024,TX,My hours were cut after too many schedule changes driven by childcare gaps.,my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS
R00048,household,1,January 2024,AL,"The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Our center says classrooms merge because of staff shortages, leaving fewer hours. No slots open when my shifts change, so reliable childcare access feels impossible.",stress juggling work caregiving overwhelming my mental health keeps slipping our center says classrooms merge because staff shortages leaving fewer hours no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS
R00048,household,1,January 2024,AL,"The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Our center says classrooms merge because of staff shortages, leaving fewer hours. No slots open when my shifts change, so reliable childcare access feels impossible.",stress juggling work caregiving overwhelming my mental health keeps slipping our center says classrooms merge because staff shortages leaving fewer hours no slots open when my shifts change so reliable childcare access feels impossible,EMPLOYMENT_DISRUPTION
R00048,household,1,January 2024,AL,"The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Our center says classrooms merge because of staff shortages, leaving fewer hours. No slots open when my shifts change, so reliable childcare access feels impossible.",stress juggling work caregiving overwhelming my mental health keeps slipping our center says classrooms merge because staff shortages leaving fewer hours no slots open when my shifts change so reliable childcare access feels impossible,STRESS_BURNOUT
R00049,household,3,March 2024,PA,"I water down meals for the kids when food runs low after rent and child care. Short staffing means inconsistent caregivers and unpredictable schedules for us. No slots open when my shifts change, so reliable childcare access feels impossible.",i water down meals kids when food runs low after rent child care short staffing means inconsistent caregivers unpredictable schedules us no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS
R00049,household,3,March 2024,PA,"I water down meals for the kids when food runs low after rent and child care. Short staffing means inconsistent caregivers and unpredictable schedules for us. No slots open when my shifts change, so reliable childcare access feels impossible.",i water down meals kids when food runs low after rent child care short staffing means inconsistent caregivers unpredictable schedules us no slots open when my shifts change so reliable childcare access feels impossible,EMPLOYMENT_DISRUPTION
R00049,household,3,March 2024,PA,"I water down meals for the kids when food runs low after rent and child care. Short staffing means inconsistent caregivers and unpredictable schedules for us. No slots open when my shifts change, so reliable childcare access feels impossible.",i water down meals kids when food runs low after rent child care short staffing means inconsistent caregivers unpredictable schedules us no slots open when my shifts change so reliable childcare access feels impossible,SCHEDULING_CONSTRAINTS
R00050,provider,3,March 2024,CA,Keeping care affordable while paying staff fairly is nearly impossible.,keeping care affordable while paying staff fairly nearly impossible,AFFORDABILITY
