respondent_id,frame,wave,survey_month,state,income_bracket,provider_setting,open_response_text,cleaned_text,themes
R00012,household,2,February 2024,AZ,30-60k,,"I feel burned out every week trying to cover shifts and still be a present parent. Childcare remains unaffordable, forcing us to take turns missing work.",i feel burned out every week trying cover shifts still present parent childcare remains unaffordable forcing us take turns missing work,AFFORDABILITY|EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
R00013,household,1,January 2024,WA,<30k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. I feel burned out every week trying to cover shifts and still be a present parent. My hours were cut after too many schedule changes driven by childcare gaps.",our center says classrooms merge because staff shortages leaving fewer hours i feel burned out every week trying cover shifts still present parent my hours were cut after too many schedule changes driven childcare gaps,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00014,household,2,February 2024,OH,60-100k,,"We have been on a childcare waitlist for months after our center closed. My split shift schedule never aligns with the center's hours, so coverage falls apart.",have been childcare waitlist months after our center closed my split shift schedule never aligns center s hours so coverage falls apart,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00015,household,1,January 2024,AZ,60-100k,,"Finding after-school care is a battle every semester, and options keep shrinking. I miss work every time care falls through, and my employer is losing patience. Food insecurity is creeping back—we rely on the pantry between paychecks.",finding after school care battle every semester options keep shrinking i miss work every time care falls through my employer losing patience food insecurity creeping back rely pantry between paychecks,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00016,household,3,March 2024,CA,30-60k,,My hours were cut after too many schedule changes driven by childcare gaps. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.,my hours were cut after too many schedule changes driven childcare gaps coordinating schedules my partner provider weekly puzzle rarely solve,SCHEDULING_CONSTRAINTS
R00017,household,1,January 2024,FL,>100k,,"Childcare remains unaffordable, forcing us to take turns missing work. I miss work every time care falls through, and my employer is losing patience. Finding after-school care is a battle every semester, and options keep shrinking.",childcare remains unaffordable forcing us take turns missing work i miss work every time care falls through my employer losing patience finding after school care battle every semester options keep shrinking,AFFORDABILITY|CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00018,provider,3,March 2024,IL,,center,Managing constant schedule changes with too few people is crushing my mental health.,managing constant schedule changes too few people crushing my mental health,SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00019,household,3,March 2024,NJ,30-60k,,Short staffing means inconsistent caregivers and unpredictable schedules for us.,short staffing means inconsistent caregivers unpredictable schedules us,SCHEDULING_CONSTRAINTS
R00020,household,2,February 2024,PA,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. My hours were cut after too many schedule changes driven by childcare gaps.",my split shift schedule never aligns center s hours so coverage falls apart my hours were cut after too many schedule changes driven childcare gaps,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00021,household,1,January 2024,NJ,<30k,,"I miss work every time care falls through, and my employer is losing patience. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. No slots open when my shifts change, so reliable childcare access feels impossible.",i miss work every time care falls through my employer losing patience stress juggling work caregiving overwhelming my mental health keeps slipping no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
R00022,household,1,January 2024,CA,<30k,,"Food insecurity is creeping back—we rely on the pantry between paychecks. Weekend work is non-negotiable, but there is no evening care anywhere nearby.",food insecurity creeping back rely pantry between paychecks weekend work non negotiable but there no evening care anywhere nearby,FOOD_INSECURITY|SCHEDULING_CONSTRAINTS
R00023,household,2,February 2024,FL,>100k,,"No slots open when my shifts change, so reliable childcare access feels impossible.",no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00024,provider,1,January 2024,AZ,,family_home,"Coordinating staggered shifts with limited staff feels impossible. No substitutes are available, so I cover multiple classrooms daily. I field calls daily from parents desperate for openings we just do not have.",coordinating staggered shifts limited staff feels impossible no substitutes available so i cover multiple classrooms daily i field calls daily parents desperate openings just do not have,EMPLOYMENT_DISRUPTION|PROVIDER_STAFF_SHORTAGE
R00025,household,1,January 2024,MI,30-60k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We stretch groceries and sometimes skip meals so tuition can stay current.",my partner i exhausted constantly anxious about childcare collapsing last minute stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY|FOOD_INSECURITY|STRESS_BURNOUT
R00026,household,3,March 2024,FL,<30k,,"I miss work every time care falls through, and my employer is losing patience. Tuition and fees are too expensive; every increase means cutting groceries.",i miss work every time care falls through my employer losing patience tuition fees too expensive every increase means cutting groceries,AFFORDABILITY|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00027,provider,2,February 2024,TX,,center,"We are short staffed and cannot hire assistants even after months of recruiting. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Affordability pressures mean delays in payments and tighter margins for the program.",short staffed cannot hire assistants even after months recruiting families need nights weekend coverage but cannot stretch schedules without burning out staff affordability pressures mean delays payments tighter margins program,AFFORDABILITY|PROVIDER_STAFF_SHORTAGE|SCHEDULING_CONSTRAINTS
R00028,household,1,January 2024,PA,60-100k,,"Weekend work is non-negotiable, but there is no evening care anywhere nearby. Food insecurity is creeping back—we rely on the pantry between paychecks. We were told staffing shortages limit the program to part-week care.",weekend work non negotiable but there no evening care anywhere nearby food insecurity creeping back rely pantry between paychecks were told staffing shortages limit program part week care,FOOD_INSECURITY|SCHEDULING_CONSTRAINTS
R00029,provider,1,January 2024,CO,,center,"Our center closed classrooms temporarily, so neighborhood access evaporated.",our center closed classrooms temporarily so neighborhood access evaporated,CHILDCARE_ACCESS
R00030,provider,1,January 2024,TX,,informal,"Coordinating staggered shifts with limited staff feels impossible. Families tell me they face food insecurity, and we set up snack pantries in the classroom. I am juggling second jobs because enrollment swings disrupt my own employment stability.",coordinating staggered shifts limited staff feels impossible families tell me they face food insecurity set up snack pantries classroom i am juggling second jobs because enrollment swings disrupt my own employment stability,EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00031,provider,3,March 2024,GA,,center,We are short staffed and cannot hire assistants even after months of recruiting. I am juggling second jobs because enrollment swings disrupt my own employment stability.,short staffed cannot hire assistants even after months recruiting i am juggling second jobs because enrollment swings disrupt my own employment stability,EMPLOYMENT_DISRUPTION|PROVIDER_STAFF_SHORTAGE
R00032,household,3,March 2024,AL,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart.",my split shift schedule never aligns center s hours so coverage falls apart,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00033,household,2,February 2024,NC,>100k,,We stretch groceries and sometimes skip meals so tuition can stay current.,stretch groceries sometimes skip meals so tuition can stay current,AFFORDABILITY|FOOD_INSECURITY
R00034,provider,1,January 2024,FL,,family_home,"Staff and I are emotionally drained; burnout is spreading across the team. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Families want more slots than we can offer; access breaks down when staff call out.",staff i emotionally drained burnout spreading across team families need nights weekend coverage but cannot stretch schedules without burning out staff families want more slots than can offer access breaks down when staff call out,SCHEDULING_CONSTRAINTS
R00035,provider,3,March 2024,CA,,family_home,Scheduling constraints force us to close early when multiple people call out. Keeping care affordable while paying staff fairly is nearly impossible. I am juggling second jobs because enrollment swings disrupt my own employment stability.,scheduling constraints force us close early when multiple people call out keeping care affordable while paying staff fairly nearly impossible i am juggling second jobs because enrollment swings disrupt my own employment stability,AFFORDABILITY|EMPLOYMENT_DISRUPTION
R00036,provider,3,March 2024,PA,,center,Keeping care affordable while paying staff fairly is nearly impossible.,keeping care affordable while paying staff fairly nearly impossible,AFFORDABILITY
R00037,household,3,March 2024,FL,30-60k,,We cannot afford reliable care when costs rise faster than wages. We have been on a childcare waitlist for months after our center closed.,cannot afford reliable care when costs rise faster than wages have been childcare waitlist months after our center closed,AFFORDABILITY|CHILDCARE_ACCESS
R00038,provider,2,February 2024,AL,,family_home,"Staff juggle multiple jobs, and every disruption ripples through coverage.",staff juggle multiple jobs every disruption ripples through coverage,
R00039,household,1,January 2024,NY,>100k,,"Employment keeps getting disrupted when I have to leave early for pickups. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute.",employment keeps getting disrupted when i have leave early pickups my partner i exhausted constantly anxious about childcare collapsing last minute,EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
R00040,household,3,March 2024,NC,<30k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We cannot afford reliable care when costs rise faster than wages. We have been on a childcare waitlist for months after our center closed.",my partner i exhausted constantly anxious about childcare collapsing last minute cannot afford reliable care when costs rise faster than wages have been childcare waitlist months after our center closed,AFFORDABILITY|CHILDCARE_ACCESS|STRESS_BURNOUT
R00041,household,3,March 2024,NC,>100k,,"I water down meals for the kids when food runs low after rent and child care. No slots open when my shifts change, so reliable childcare access feels impossible. Tuition and fees are too expensive; every increase means cutting groceries.",i water down meals kids when food runs low after rent child care no slots open when my shifts change so reliable childcare access feels impossible tuition fees too expensive every increase means cutting groceries,AFFORDABILITY|CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY
R00042,provider,2,February 2024,CT,,center,Food budgets for the program are maxed out while families ask for extra meals. Scheduling constraints force us to close early when multiple people call out.,food budgets program maxed out while families ask extra meals scheduling constraints force us close early when multiple people call out,FOOD_INSECURITY
R00043,household,3,March 2024,PA,30-60k,,We have been on a childcare waitlist for months after our center closed.,have been childcare waitlist months after our center closed,CHILDCARE_ACCESS
R00044,provider,1,January 2024,FL,,center,"Affordability pressures mean delays in payments and tighter margins for the program. Families tell me they face food insecurity, and we set up snack pantries in the classroom. Assistants quit when schedules change, so my employment feels precarious too.",affordability pressures mean delays payments tighter margins program families tell me they face food insecurity set up snack pantries classroom assistants quit when schedules change so my employment feels precarious too,AFFORDABILITY|EMPLOYMENT_DISRUPTION|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS
R00045,household,1,January 2024,NY,<30k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours.",our center says classrooms merge because staff shortages leaving fewer hours,
R00046,household,2,February 2024,NJ,30-60k,,I water down meals for the kids when food runs low after rent and child care. We were told staffing shortages limit the program to part-week care. We cannot afford reliable care when costs rise faster than wages.,i water down meals kids when food runs low after rent child care were told staffing shortages limit program part week care cannot afford reliable care when costs rise faster than wages,AFFORDABILITY
R00047,household,1,January 2024,TX,<30k,,My hours were cut after too many schedule changes driven by childcare gaps.,my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS
R00048,household,1,January 2024,AL,30-60k,,"The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Our center says classrooms merge because of staff shortages, leaving fewer hours. No slots open when my shifts change, so reliable childcare access feels impossible.",stress juggling work caregiving overwhelming my mental health keeps slipping our center says classrooms merge because staff shortages leaving fewer hours no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
R00049,household,3,March 2024,PA,>100k,,"I water down meals for the kids when food runs low after rent and child care. Short staffing means inconsistent caregivers and unpredictable schedules for us. No slots open when my shifts change, so reliable childcare access feels impossible.",i water down meals kids when food runs low after rent child care short staffing means inconsistent caregivers unpredictable schedules us no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00050,provider,3,March 2024,CA,,family_home,Keeping care affordable while paying staff fairly is nearly impossible.,keeping care affordable while paying staff fairly nearly impossible,AFFORDABILITY
R00051,household,3,March 2024,OH,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart. Food insecurity is creeping back—we rely on the pantry between paychecks.",my split shift schedule never aligns center s hours so coverage falls apart food insecurity creeping back rely pantry between paychecks,EMPLOYMENT_DISRUPTION|FOOD_INSECURITY|SCHEDULING_CONSTRAINTS
R00052,household,2,February 2024,NC,30-60k,,We cannot afford reliable care when costs rise faster than wages.,cannot afford reliable care when costs rise faster than wages,AFFORDABILITY
R00053,household,2,February 2024,GA,60-100k,,"Finding after-school care is a battle every semester, and options keep shrinking.",finding after school care battle every semester options keep shrinking,CHILDCARE_ACCESS
R00054,provider,3,March 2024,PA,,center,I field calls daily from parents desperate for openings we just do not have. Affordability pressures mean delays in payments and tighter margins for the program.,i field calls daily parents desperate openings just do not have affordability pressures mean delays payments tighter margins program,AFFORDABILITY
R00055,provider,2,February 2024,MI,,family_home,I field calls daily from parents desperate for openings we just do not have. Staff and I are emotionally drained; burnout is spreading across the team.,i field calls daily parents desperate openings just do not have staff i emotionally drained burnout spreading across team,
R00056,provider,1,January 2024,MA,,center,Scheduling constraints force us to close early when multiple people call out. Affordability pressures mean delays in payments and tighter margins for the program. I am juggling second jobs because enrollment swings disrupt my own employment stability.,scheduling constraints force us close early when multiple people call out affordability pressures mean delays payments tighter margins program i am juggling second jobs because enrollment swings disrupt my own employment stability,AFFORDABILITY|EMPLOYMENT_DISRUPTION
R00057,provider,3,March 2024,CA,,after_school,"No substitutes are available, so I cover multiple classrooms daily.",no substitutes available so i cover multiple classrooms daily,PROVIDER_STAFF_SHORTAGE
R00058,provider,2,February 2024,WA,,after_school,"We are short staffed and cannot hire assistants even after months of recruiting. Managing constant schedule changes with too few people is crushing my mental health. I see children coming in hungry, and our program scrambles to cover snacks.",short staffed cannot hire assistants even after months recruiting managing constant schedule changes too few people crushing my mental health i see children coming hungry our program scrambles cover snacks,PROVIDER_STAFF_SHORTAGE|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00059,household,1,January 2024,MI,30-60k,,"Finding after-school care is a battle every semester, and options keep shrinking. Employment keeps getting disrupted when I have to leave early for pickups.",finding after school care battle every semester options keep shrinking employment keeps getting disrupted when i have leave early pickups,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00060,provider,2,February 2024,MA,,family_home,Scheduling constraints force us to close early when multiple people call out.,scheduling constraints force us close early when multiple people call out,
R00061,household,1,January 2024,NY,60-100k,,Short staffing means inconsistent caregivers and unpredictable schedules for us.,short staffing means inconsistent caregivers unpredictable schedules us,SCHEDULING_CONSTRAINTS
R00062,provider,1,January 2024,NJ,,center,"Scheduling constraints force us to close early when multiple people call out. Assistants quit when schedules change, so my employment feels precarious too. No substitutes are available, so I cover multiple classrooms daily.",scheduling constraints force us close early when multiple people call out assistants quit when schedules change so my employment feels precarious too no substitutes available so i cover multiple classrooms daily,EMPLOYMENT_DISRUPTION|PROVIDER_STAFF_SHORTAGE|SCHEDULING_CONSTRAINTS
R00063,household,1,January 2024,WA,>100k,,We cannot afford reliable care when costs rise faster than wages.,cannot afford reliable care when costs rise faster than wages,AFFORDABILITY
R00064,household,1,January 2024,NY,30-60k,,"Our center says classrooms merge because of staff shortages, leaving fewer hours. My hours were cut after too many schedule changes driven by childcare gaps. No slots open when my shifts change, so reliable childcare access feels impossible.",our center says classrooms merge because staff shortages leaving fewer hours my hours were cut after too many schedule changes driven childcare gaps no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00065,provider,3,March 2024,PA,,center,"Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. I see children coming in hungry, and our program scrambles to cover snacks. No substitutes are available, so I cover multiple classrooms daily.",families need nights weekend coverage but cannot stretch schedules without burning out staff i see children coming hungry our program scrambles cover snacks no substitutes available so i cover multiple classrooms daily,PROVIDER_STAFF_SHORTAGE|SCHEDULING_CONSTRAINTS
R00066,provider,2,February 2024,AL,,family_home,"Families want more slots than we can offer; access breaks down when staff call out. Assistants quit when schedules change, so my employment feels precarious too. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff.",families want more slots than can offer access breaks down when staff call out assistants quit when schedules change so my employment feels precarious too families need nights weekend coverage but cannot stretch schedules without burning out staff,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00067,provider,1,January 2024,NY,,center,"Families tell me they face food insecurity, and we set up snack pantries in the classroom. Open positions stay vacant, forcing us to cap enrollment and reduce hours. I am overwhelmed balancing paperwork, families, and the classroom without relief.",families tell me they face food insecurity set up snack pantries classroom open positions stay vacant forcing us cap enrollment reduce hours i am overwhelmed balancing paperwork families classroom without relief,FOOD_INSECURITY|STRESS_BURNOUT
R00068,household,2,February 2024,WA,60-100k,,My hours were cut after too many schedule changes driven by childcare gaps.,my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS
R00069,provider,1,January 2024,PA,,center,Operating costs skyrocket but families cannot absorb more tuition.,operating costs skyrocket but families cannot absorb more tuition,AFFORDABILITY
R00070,provider,3,March 2024,CO,,after_school,"Staff juggle multiple jobs, and every disruption ripples through coverage.",staff juggle multiple jobs every disruption ripples through coverage,
R00071,household,1,January 2024,CA,60-100k,,Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.,coordinating schedules my partner provider weekly puzzle rarely solve,SCHEDULING_CONSTRAINTS
R00072,household,1,January 2024,PA,<30k,,Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve. We were told staffing shortages limit the program to part-week care. Employment keeps getting disrupted when I have to leave early for pickups.,coordinating schedules my partner provider weekly puzzle rarely solve were told staffing shortages limit program part week care employment keeps getting disrupted when i have leave early pickups,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00073,household,3,March 2024,IL,<30k,,My hours were cut after too many schedule changes driven by childcare gaps.,my hours were cut after too many schedule changes driven childcare gaps,SCHEDULING_CONSTRAINTS
R00074,provider,2,February 2024,NC,,after_school,Staff and I are emotionally drained; burnout is spreading across the team. We are short staffed and cannot hire assistants even after months of recruiting.,staff i emotionally drained burnout spreading across team short staffed cannot hire assistants even after months recruiting,PROVIDER_STAFF_SHORTAGE
R00075,household,1,January 2024,NY,>100k,,"The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Our center says classrooms merge because of staff shortages, leaving fewer hours. Tuition and fees are too expensive; every increase means cutting groceries.",stress juggling work caregiving overwhelming my mental health keeps slipping our center says classrooms merge because staff shortages leaving fewer hours tuition fees too expensive every increase means cutting groceries,AFFORDABILITY|FOOD_INSECURITY|STRESS_BURNOUT
R00076,provider,3,March 2024,GA,,center,We are short staffed and cannot hire assistants even after months of recruiting.,short staffed cannot hire assistants even after months recruiting,PROVIDER_STAFF_SHORTAGE
R00077,provider,2,February 2024,IL,,informal,"Staff juggle multiple jobs, and every disruption ripples through coverage.",staff juggle multiple jobs every disruption ripples through coverage,
R00078,household,2,February 2024,CT,30-60k,,"We cannot afford reliable care when costs rise faster than wages. No slots open when my shifts change, so reliable childcare access feels impossible. Coordinating schedules with my partner and the provider is a weekly puzzle we rarely solve.",cannot afford reliable care when costs rise faster than wages no slots open when my shifts change so reliable childcare access feels impossible coordinating schedules my partner provider weekly puzzle rarely solve,AFFORDABILITY|CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00079,household,2,February 2024,MA,30-60k,,"My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute. We have been on a childcare waitlist for months after our center closed. My split shift schedule never aligns with the center's hours, so coverage falls apart.",my partner i exhausted constantly anxious about childcare collapsing last minute have been childcare waitlist months after our center closed my split shift schedule never aligns center s hours so coverage falls apart,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00080,household,1,January 2024,OH,60-100k,,"No slots open when my shifts change, so reliable childcare access feels impossible. We were told staffing shortages limit the program to part-week care.",no slots open when my shifts change so reliable childcare access feels impossible were told staffing shortages limit program part week care,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00081,household,1,January 2024,NC,<30k,,"No slots open when my shifts change, so reliable childcare access feels impossible.",no slots open when my shifts change so reliable childcare access feels impossible,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION
R00082,household,1,January 2024,CO,30-60k,,We cannot afford reliable care when costs rise faster than wages. My hours were cut after too many schedule changes driven by childcare gaps.,cannot afford reliable care when costs rise faster than wages my hours were cut after too many schedule changes driven childcare gaps,AFFORDABILITY|SCHEDULING_CONSTRAINTS
R00083,provider,2,February 2024,FL,,informal,"I see children coming in hungry, and our program scrambles to cover snacks. Affordability pressures mean delays in payments and tighter margins for the program.",i see children coming hungry our program scrambles cover snacks affordability pressures mean delays payments tighter margins program,AFFORDABILITY
R00084,household,3,March 2024,MA,60-100k,,We were told staffing shortages limit the program to part-week care. I feel burned out every week trying to cover shifts and still be a present parent.,were told staffing shortages limit program part week care i feel burned out every week trying cover shifts still present parent,EMPLOYMENT_DISRUPTION|STRESS_BURNOUT
R00085,household,1,January 2024,OH,30-60k,,"We have been on a childcare waitlist for months after our center closed. Our center says classrooms merge because of staff shortages, leaving fewer hours.",have been childcare waitlist months after our center closed our center says classrooms merge because staff shortages leaving fewer hours,CHILDCARE_ACCESS
R00086,household,3,March 2024,PA,<30k,,Food insecurity is creeping back—we rely on the pantry between paychecks.,food insecurity creeping back rely pantry between paychecks,FOOD_INSECURITY
R00087,household,2,February 2024,NY,60-100k,,"My split shift schedule never aligns with the center's hours, so coverage falls apart.",my split shift schedule never aligns center s hours so coverage falls apart,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS
R00088,provider,3,March 2024,PA,,center,"I see children coming in hungry, and our program scrambles to cover snacks. Managing constant schedule changes with too few people is crushing my mental health. Assistants quit when schedules change, so my employment feels precarious too.",i see children coming hungry our program scrambles cover snacks managing constant schedule changes too few people crushing my mental health assistants quit when schedules change so my employment feels precarious too,EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00089,provider,3,March 2024,IL,,center,"Affordability pressures mean delays in payments and tighter margins for the program. Staff juggle multiple jobs, and every disruption ripples through coverage. I see children coming in hungry, and our program scrambles to cover snacks.",affordability pressures mean delays payments tighter margins program staff juggle multiple jobs every disruption ripples through coverage i see children coming hungry our program scrambles cover snacks,AFFORDABILITY
R00090,household,3,March 2024,CO,30-60k,,"My hours were cut after too many schedule changes driven by childcare gaps. My partner and I are exhausted, constantly anxious about childcare collapsing at the last minute.",my hours were cut after too many schedule changes driven childcare gaps my partner i exhausted constantly anxious about childcare collapsing last minute,SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00091,provider,3,March 2024,MI,,informal,"I am overwhelmed balancing paperwork, families, and the classroom without relief. Assistants quit when schedules change, so my employment feels precarious too. Operating costs skyrocket but families cannot absorb more tuition.",i am overwhelmed balancing paperwork families classroom without relief assistants quit when schedules change so my employment feels precarious too operating costs skyrocket but families cannot absorb more tuition,AFFORDABILITY|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00092,provider,1,January 2024,AL,,family_home,"Families tell me they face food insecurity, and we set up snack pantries in the classroom. We are short staffed and cannot hire assistants even after months of recruiting.",families tell me they face food insecurity set up snack pantries classroom short staffed cannot hire assistants even after months recruiting,FOOD_INSECURITY|PROVIDER_STAFF_SHORTAGE
R00093,household,3,March 2024,NC,30-60k,,Food insecurity is creeping back—we rely on the pantry between paychecks.,food insecurity creeping back rely pantry between paychecks,FOOD_INSECURITY
R00094,household,3,March 2024,MA,<30k,,I water down meals for the kids when food runs low after rent and child care.,i water down meals kids when food runs low after rent child care,
R00095,household,3,March 2024,MI,60-100k,,"I miss work every time care falls through, and my employer is losing patience. We were told staffing shortages limit the program to part-week care.",i miss work every time care falls through my employer losing patience were told staffing shortages limit program part week care,EMPLOYMENT_DISRUPTION
R00096,household,2,February 2024,PA,60-100k,,"I water down meals for the kids when food runs low after rent and child care. Childcare remains unaffordable, forcing us to take turns missing work.",i water down meals kids when food runs low after rent child care childcare remains unaffordable forcing us take turns missing work,AFFORDABILITY
R00097,household,3,March 2024,IL,30-60k,,"I feel burned out every week trying to cover shifts and still be a present parent. Finding after-school care is a battle every semester, and options keep shrinking. Short staffing means inconsistent caregivers and unpredictable schedules for us.",i feel burned out every week trying cover shifts still present parent finding after school care battle every semester options keep shrinking short staffing means inconsistent caregivers unpredictable schedules us,CHILDCARE_ACCESS|EMPLOYMENT_DISRUPTION|SCHEDULING_CONSTRAINTS|STRESS_BURNOUT
R00098,household,1,January 2024,GA,>100k,,We have been on a childcare waitlist for months after our center closed. We cannot afford reliable care when costs rise faster than wages.,have been childcare waitlist months after our center closed cannot afford reliable care when costs rise faster than wages,AFFORDABILITY|CHILDCARE_ACCESS
