theme,frame,wave,state,quote
FOOD_INSECURITY,provider,2,AZ,Staff and I are emotionally drained; burnout is spreading across the team. Food budgets for the program are maxed out while families ask for extra meals. Affordability pressures mean delays in payments and tighter margins for the program.
PROVIDER_STAFF_SHORTAGE,provider,2,FL,We are short staffed and cannot hire assistants even after months of recruiting. Coordinating staggered shifts with limited staff feels impossible.
PROVIDER_STAFF_SHORTAGE,provider,3,CO,"Our center closed classrooms temporarily, so neighborhood access evaporated. We are short staffed and cannot hire assistants even after months of recruiting. Keeping care affordable while paying staff fairly is nearly impossible."
PROVIDER_STAFF_SHORTAGE,provider,3,GA,We are short staffed and cannot hire assistants even after months of recruiting. I am juggling second jobs because enrollment swings disrupt my own employment stability.
PROVIDER_STAFF_SHORTAGE,provider,3,IL,"Keeping care affordable while paying staff fairly is nearly impossible. No substitutes are available, so I cover multiple classrooms daily. Food budgets for the program are maxed out while families ask for extra meals."
PROVIDER_STAFF_SHORTAGE,provider,3,WA,"We are short staffed and cannot hire assistants even after months of recruiting. Managing constant schedule changes with too few people is crushing my mental health. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff."
SCHEDULING_CONSTRAINTS,household,1,AL,The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping. Short staffing means inconsistent caregivers and unpredictable schedules for us. I water down meals for the kids when food runs low after rent and child care.
SCHEDULING_CONSTRAINTS,household,1,WA,"Short staffing means inconsistent caregivers and unpredictable schedules for us. I feel burned out every week trying to cover shifts and still be a present parent. Childcare remains unaffordable, forcing us to take turns missing work."
SCHEDULING_CONSTRAINTS,household,2,MI,"Food insecurity is creeping back—we rely on the pantry between paychecks. My hours were cut after too many schedule changes driven by childcare gaps. No slots open when my shifts change, so reliable childcare access feels impossible."
SCHEDULING_CONSTRAINTS,household,3,NC,I feel burned out every week trying to cover shifts and still be a present parent. We stretch groceries and sometimes skip meals so tuition can stay current. Short staffing means inconsistent caregivers and unpredictable schedules for us.
SCHEDULING_CONSTRAINTS,provider,3,MA,"Staff juggle multiple jobs, and every disruption ripples through coverage. Managing constant schedule changes with too few people is crushing my mental health. No substitutes are available, so I cover multiple classrooms daily."
STRESS_BURNOUT,household,1,CT,I feel burned out every week trying to cover shifts and still be a present parent. Employment keeps getting disrupted when I have to leave early for pickups. Tuition and fees are too expensive; every increase means cutting groceries.
STRESS_BURNOUT,household,1,TX,Employment keeps getting disrupted when I have to leave early for pickups. Food insecurity is creeping back—we rely on the pantry between paychecks. I feel burned out every week trying to cover shifts and still be a present parent.
STRESS_BURNOUT,household,2,NC,"Weekend work is non-negotiable, but there is no evening care anywhere nearby. The stress of juggling work and caregiving is overwhelming and my mental health keeps slipping."
STRESS_BURNOUT,provider,1,MI,"I see children coming in hungry, and our program scrambles to cover snacks. Families need nights and weekend coverage, but we cannot stretch schedules without burning out staff. Managing constant schedule changes with too few people is crushing my mental health."
STRESS_BURNOUT,provider,2,PA,"Coordinating staggered shifts with limited staff feels impossible. Open positions stay vacant, forcing us to cap enrollment and reduce hours. Managing constant schedule changes with too few people is crushing my mental health."
