respondent_id,frame,wave,AFFORDABILITY,CHILDCARE_ACCESS,EMPLOYMENT_DISRUPTION,FOOD_INSECURITY,PROVIDER_STAFF_SHORTAGE,SCHEDULING_CONSTRAINTS,STRESS_BURNOUT,stress_score,food_insecurity,employment_disruption,provider_closure_risk,closure_risk_high
R00090,household,3,False,False,False,False,False,True,True,32.36947023917159,1,0,0.0,0
R00091,provider,3,True,False,True,False,False,True,True,34.65905728966558,1,0,1.0,0
R00092,provider,1,False,False,False,True,True,False,False,17.40908709294346,1,0,2.0,1
R00093,household,3,False,False,False,True,False,False,False,15.460210127735078,0,1,0.0,0
R00094,household,3,False,False,False,False,False,False,False,17.521690734561606,0,0,0.0,0
R00095,household,3,False,False,True,False,False,False,False,7.875993396251822,0,0,0.0,0
R00096,household,2,True,False,False,False,False,False,False,9.317325165461476,0,0,0.0,0
R00097,household,3,False,True,True,False,False,True,True,22.355792968011748,0,1,0.0,0
R00098,household,1,True,True,False,False,False,False,False,12.01651903439111,0,0,0.0,0
R00099,household,1,False,True,True,False,False,True,False,22.834924813573483,1,1,0.0,0
R00100,provider,1,False,False,True,False,False,True,False,14.347463995901078,0,0,2.0,1
R00101,provider,3,True,False,True,False,False,False,False,15.731024675763662,0,0,2.0,1
R00102,household,2,False,False,False,False,False,False,True,30.36639799572415,0,0,0.0,0
R00103,provider,3,False,False,False,False,False,False,False,15.862416173631445,0,0,1.0,0
R00104,provider,1,True,False,False,False,True,False,False,22.425093410802518,1,0,2.0,1
R00105,provider,2,True,False,False,False,False,False,False,12.398293919940738,1,0,1.0,0
R00106,provider,2,False,False,False,False,False,False,False,16.76737465279422,0,0,1.0,0
R00107,household,1,True,False,False,False,False,True,True,22.683017108466732,0,0,0.0,0
R00108,household,3,False,False,False,False,False,True,False,19.242272427377554,0,0,0.0,0
R00109,household,1,True,True,True,False,False,False,False,23.041848824744374,0,1,0.0,0
R00110,provider,2,False,False,True,True,False,True,False,9.665911247972545,0,0,1.0,0
R00111,household,3,True,False,False,False,False,False,False,20.606541861275144,1,0,0.0,0
R00112,provider,2,True,False,False,False,False,False,False,19.426413613993667,0,0,1.0,0
R00113,household,3,True,False,False,True,False,False,False,14.435100265819234,1,0,0.0,0
R00114,household,2,False,True,True,False,False,False,False,9.323652873669273,0,1,0.0,0
R00115,household,3,False,False,True,False,False,True,False,19.624146576410663,0,0,0.0,0
R00116,household,3,False,True,True,False,False,False,False,14.823043745617186,0,0,0.0,0
R00117,provider,1,False,False,False,False,False,False,False,19.396057268128224,0,0,1.0,0
R00118,household,1,False,False,False,False,False,False,True,26.346181233247925,1,0,0.0,0
R00119,household,1,False,True,False,False,False,True,False,28.904297845809698,0,1,0.0,0
R00120,provider,1,False,False,False,False,True,False,False,16.563866235161854,0,0,2.0,1
R00121,household,1,False,True,False,False,False,False,False,11.85901504426881,0,0,0.0,0
R00122,household,3,False,False,False,False,False,True,True,29.896727382003753,0,0,0.0,0
R00123,household,1,False,False,False,False,False,True,True,26.701743353138117,0,0,0.0,0
R00124,household,2,True,False,True,True,False,False,False,26.15512545144262,1,1,0.0,0
R00125,household,2,True,False,False,True,False,False,False,23.010667475487473,1,0,0.0,0
R00126,household,2,False,True,False,False,False,False,False,20.141226354897057,1,1,0.0,0
R00127,household,1,True,True,False,True,False,False,False,26.77981734731737,1,0,0.0,0
R00128,household,3,True,False,True,True,False,True,False,12.563111504573103,1,1,0.0,0
R00129,provider,1,False,False,False,False,True,False,False,14.161490803501515,0,0,3.0,1
R00130,household,3,True,False,False,True,False,False,False,12.44054435156685,0,1,0.0,0
R00131,provider,2,True,False,False,False,False,False,False,15.661141181065393,1,0,0.0,0
R00132,household,3,True,False,False,True,False,False,False,9.739883114662147,1,0,0.0,0
R00133,household,3,False,True,False,False,False,False,True,29.05482709742347,0,1,0.0,0
R00134,provider,1,True,False,False,False,False,False,False,16.66666381740736,0,0,0.0,0
R00135,household,1,False,False,True,False,False,False,False,9.175162232984054,0,0,0.0,0
R00136,provider,3,False,False,False,False,False,False,False,11.906525512754751,0,0,1.0,0
R00137,household,3,False,False,False,False,False,False,False,19.88108308470117,0,0,0.0,0
R00138,provider,2,True,False,False,False,False,False,False,23.028759407366287,1,0,1.0,0
R00139,household,2,False,False,False,False,False,True,False,30.97123500878388,0,0,0.0,0
R00140,household,2,True,False,False,False,False,False,False,35.483174796043976,1,0,0.0,0
R00141,household,2,False,False,False,False,False,False,True,28.296525978470633,0,0,0.0,0
R00142,household,2,True,False,False,False,False,False,False,12.062771279808814,0,0,0.0,0
R00143,provider,3,False,False,False,False,False,False,False,5.207722315612145,1,0,1.0,0
R00144,household,3,False,False,True,False,False,True,False,21.22564392699665,0,1,0.0,0
R00145,household,3,True,False,True,True,False,True,False,16.54238134592515,0,0,0.0,0
R00146,household,3,False,True,False,False,False,True,False,15.666820271629042,0,0,0.0,0
R00147,provider,2,False,False,False,False,False,False,True,20.44205937657847,0,0,0.0,0
R00148,provider,2,True,False,False,False,False,False,False,17.155254681501688,0,0,1.0,0
R00149,household,3,False,True,True,False,False,True,False,26.279682100366106,0,0,0.0,0
R00150,household,2,True,False,False,True,False,False,False,18.94229140467207,0,1,0.0,0
R00151,household,2,True,False,False,True,False,False,False,17.04819097776787,1,1,0.0,0
R00152,household,3,True,False,False,True,False,True,True,24.703580339886038,1,0,0.0,0
R00153,household,3,True,False,False,False,False,False,False,7.951902331773859,1,0,0.0,0
R00154,household,1,False,False,True,True,False,False,False,15.082152545560014,1,1,0.0,0
R00155,household,1,False,True,False,False,False,False,False,17.677304695090076,1,1,0.0,0
R00156,provider,1,False,False,True,False,True,True,False,30.047879210329484,0,0,2.0,1
R00157,household,1,False,False,True,False,False,True,False,21.14284501289131,0,0,0.0,0
R00158,household,1,False,True,True,False,False,True,False,27.234633199077,0,0,0.0,0
R00159,provider,1,False,False,False,False,False,False,False,15.004226408765089,0,0,1.0,0
R00160,household,2,False,False,True,True,False,False,False,10.890337401497852,0,1,0.0,0
R00161,household,3,False,False,False,False,False,True,False,12.877654666548286,0,0,0.0,0
R00162,household,1,False,False,True,False,False,True,False,14.320711098792039,0,0,0.0,0
R00163,provider,3,True,False,False,False,False,False,False,30.770818394610988,1,0,1.0,0
R00164,household,2,False,False,True,False,False,False,True,22.33852300670838,0,1,0.0,0
R00165,provider,1,False,False,False,True,False,True,True,34.015354952707206,1,0,1.0,0
R00166,household,3,False,True,True,False,False,True,False,14.886587377664018,0,1,0.0,0
R00167,provider,1,False,False,False,False,False,False,False,23.589438077245465,0,0,0.0,0
R00168,household,3,True,False,False,False,False,False,True,24.89125358881487,0,0,0.0,0
R00169,household,1,False,False,True,False,False,False,False,17.060172614051456,0,0,0.0,0
R00170,provider,1,False,True,False,False,False,False,False,17.755424843187395,0,0,1.0,0
R00171,household,2,True,True,True,True,False,False,False,14.071273827423656,0,1,0.0,0
R00172,provider,3,True,False,False,False,False,True,True,29.12832014845561,1,0,1.0,0
R00173,household,2,True,False,True,True,False,False,True,22.67079298984459,0,0,0.0,0
R00174,provider,3,False,False,False,True,False,False,False,10.646365417396511,1,0,1.0,0
R00175,provider,2,False,False,False,False,False,True,True,19.93155229331259,1,0,1.0,0
R00176,household,3,False,True,True,False,False,False,False,19.035527506332716,0,1,0.0,0
R00177,household,1,True,True,False,True,False,False,False,27.47454753846261,1,0,0.0,0
R00178,provider,3,True,False,False,True,False,False,False,18.95994968144063,1,0,0.0,0
R00179,provider,1,True,False,True,False,False,False,False,17.288170043340706,0,0,1.0,0
R00180,household,1,True,True,False,False,False,True,False,20.929279809347754,0,1,0.0,0
R00181,provider,2,False,False,False,True,False,True,False,29.040518001847104,0,0,1.0,0
R00182,household,1,False,True,True,False,False,False,False,19.31629500818314,0,1,0.0,0
R00183,provider,3,False,False,True,False,False,False,False,15.534436614997578,0,0,1.0,0
R00184,household,3,False,True,True,True,False,False,False,24.637732260359332,1,0,0.0,0
R00185,household,1,False,False,False,False,False,True,False,22.54359689845492,0,0,0.0,0
R00186,household,1,False,False,False,False,False,False,True,35.24920521027857,0,0,0.0,0
R00187,household,3,True,False,True,True,False,True,False,21.49893137937657,1,1,0.0,0
R00188,household,2,True,False,False,True,False,True,True,19.348738947717898,1,0,0.0,0
R00189,provider,1,True,False,True,False,False,False,False,9.79104480452601,1,0,2.0,1
R00190,provider,2,False,False,True,False,False,False,False,27.905567593387495,0,0,0.0,0
R00191,provider,1,False,False,False,False,False,True,False,31.345200194317535,0,0,1.0,0
R00192,household,1,False,True,True,False,False,False,False,16.922884720304396,0,1,0.0,0
R00193,household,3,False,True,True,False,False,True,False,18.277165264902283,0,1,0.0,0
R00194,household,2,True,False,False,False,False,False,False,26.768665753453213,0,1,0.0,0
R00195,household,3,True,True,False,True,False,False,False,11.357725907739072,1,0,0.0,0
R00196,provider,3,False,False,True,False,False,True,True,18.075882094024376,0,0,2.0,1
R00197,household,3,False,True,True,False,False,True,False,24.14324756628491,0,0,0.0,0
R00198,household,2,False,True,False,False,False,False,True,23.660513428589475,0,0,0.0,0
R00199,provider,2,False,False,False,False,False,False,False,17.969268799679572,0,0,1.0,0
R00200,household,1,False,True,False,True,False,True,False,19.337633811506038,1,1,0.0,0
R00201,provider,1,False,True,False,False,False,False,False,20.0254472927936,0,0,1.0,0
R00202,household,1,True,False,False,True,False,False,False,26.4448911678823,1,0,0.0,0
R00203,provider,3,False,False,True,False,False,False,False,18.543509441410475,0,0,1.0,0
R00204,household,1,False,False,False,True,False,True,True,35.193296695813075,0,0,0.0,0
R00205,household,3,False,True,False,False,False,True,False,9.088527652393926,0,0,0.0,0
R00206,household,2,False,True,True,False,False,False,True,25.118994141364794,0,1,0.0,0
R00207,household,2,False,True,True,True,False,False,False,12.940618378242773,1,1,0.0,0
R00208,household,3,False,False,True,False,False,True,True,22.450139241310758,0,0,0.0,0
R00209,household,1,False,False,False,False,False,True,False,15.853213818262402,0,0,0.0,0
R00210,provider,3,False,False,False,True,False,False,False,15.995259355795127,0,0,1.0,0
R00211,provider,1,False,False,True,False,False,True,False,25.52959296986065,0,0,2.0,1
R00212,household,3,False,True,False,False,False,False,True,20.000814375874562,0,0,0.0,0
R00213,household,1,False,True,False,False,False,True,False,20.737665275845337,0,1,0.0,0
R00214,provider,3,True,False,False,False,True,False,False,15.09498339999853,0,0,2.0,1
R00215,household,2,False,False,True,False,False,False,True,22.301129156509358,0,0,0.0,0
R00216,household,1,False,False,False,False,False,True,False,27.396379281582014,0,0,0.0,0
R00217,provider,1,False,False,False,False,False,True,True,32.460768717703765,0,0,1.0,0
R00218,provider,3,False,False,True,False,False,False,True,33.82824150759144,0,0,1.0,0
R00219,household,2,True,False,False,True,False,False,False,17.072965924500597,1,0,0.0,0
R00220,household,2,False,False,True,False,False,True,False,15.437898567749365,1,1,0.0,0
R00221,household,2,True,False,False,True,False,False,False,16.656847098717,0,0,0.0,0
R00222,provider,3,True,False,True,False,False,True,False,21.997496191162877,0,0,1.0,0
R00223,provider,2,False,False,True,False,False,False,False,19.059440150722267,0,0,1.0,0
R00224,household,1,True,False,False,False,False,False,False,11.4936715665998,1,0,0.0,0
R00225,household,3,False,True,False,False,False,True,False,19.853593437549904,1,0,0.0,0
R00226,household,3,True,False,False,False,False,True,False,21.78816780903398,1,0,0.0,0
R00227,household,1,True,False,False,True,False,False,False,33.10484422520352,0,0,0.0,0
R00228,provider,1,False,False,False,False,True,False,False,29.26106766769002,0,0,2.0,1
R00229,provider,3,True,False,False,False,False,False,False,12.880539896647079,0,0,1.0,0
R00230,household,1,True,False,True,True,False,False,True,24.83027889312664,1,1,0.0,0
R00231,household,1,True,False,False,True,False,True,True,21.351974527788236,1,0,0.0,0
R00232,provider,2,True,False,True,False,False,False,False,14.455757916219081,0,0,2.0,1
R00233,household,3,False,False,False,False,False,False,False,19.893630021542045,0,0,0.0,0
R00234,household,3,False,False,False,False,False,True,True,39.80853942413027,0,0,0.0,0
R00235,provider,2,True,False,False,False,False,False,False,13.625496973538349,0,0,1.0,0
R00236,provider,2,True,True,False,False,False,True,False,16.6747058793836,1,0,1.0,0
R00237,household,1,False,False,True,False,False,False,False,5.116265821568071,1,0,0.0,0
R00238,household,1,False,False,False,True,False,True,False,19.250112486774924,0,0,0.0,0
R00239,provider,3,False,False,False,False,False,False,False,11.625513528842621,0,0,1.0,0
R00240,household,1,False,False,False,True,False,True,False,17.4641485700562,0,0,0.0,0
R00241,household,2,False,False,False,False,False,True,False,14.76997018393945,0,0,0.0,0
R00242,household,2,False,False,True,False,False,True,False,18.585899699132014,0,0,0.0,0
R00243,household,2,False,False,True,False,False,False,False,7.453629651860211,0,1,0.0,0
R00244,household,3,False,False,True,False,False,True,False,10.445692274001765,0,1,0.0,0
R00245,provider,3,True,False,False,False,False,False,False,30.775482672169787,1,0,1.0,0
R00246,household,1,False,True,False,False,False,True,False,12.248508675920608,0,1,0.0,0
R00247,household,1,False,False,False,False,False,True,True,18.470296290307076,0,1,0.0,0
R00248,provider,1,False,False,True,False,True,False,False,29.021481169927885,0,0,2.0,1
R00249,provider,2,False,False,False,False,False,False,False,35.43040301544244,0,0,1.0,0
R00250,household,3,True,True,True,False,False,False,False,10.97060022704795,0,0,0.0,0
R00251,household,2,True,True,False,True,False,False,False,15.790506259271817,1,0,0.0,0
R00252,household,2,True,False,True,True,False,True,True,29.4468665578386,1,0,0.0,0
R00253,provider,3,True,False,False,False,True,False,False,28.372185866433554,0,0,2.0,1
R00254,household,2,True,False,True,False,False,True,True,15.47981264681166,1,1,0.0,0
R00255,provider,3,False,False,True,True,False,False,False,16.528332924347342,0,0,1.0,0
R00256,household,1,False,False,True,False,False,True,False,25.645098255062297,0,1,0.0,0
R00257,household,1,False,True,True,False,False,False,False,20.608596446799712,1,0,0.0,0
R00258,provider,3,False,False,True,False,False,False,True,24.236429871840894,0,0,1.0,0
R00259,provider,2,False,True,False,False,True,False,False,17.197062212903752,0,0,2.0,1
R00260,household,2,True,True,False,False,False,False,False,9.75062514978011,1,0,0.0,0
R00261,provider,3,False,False,False,True,True,False,False,16.570957536152008,1,0,2.0,1
R00262,household,2,True,True,True,True,False,True,False,19.5207621447973,0,1,0.0,0
R00263,provider,1,False,False,False,False,False,False,False,19.393019337757536,0,0,1.0,0
R00264,provider,1,False,False,False,False,True,False,False,14.668036687085904,0,0,2.0,1
R00265,provider,3,False,False,False,False,False,True,False,22.15808234014016,0,0,2.0,1
R00266,household,2,False,True,True,False,False,True,False,25.59869261358579,0,1,0.0,0
R00267,household,2,False,False,False,False,False,False,False,18.932575966010795,0,1,0.0,0
R00268,provider,2,False,False,False,False,False,False,False,20.11053845039522,0,0,1.0,0
R00269,household,1,True,True,False,False,False,False,False,18.318932085467203,0,0,0.0,0
R00270,household,3,False,True,True,False,False,False,False,18.000506358548485,0,1,0.0,0
R00271,provider,2,False,False,False,False,False,False,True,22.503388095020828,0,0,1.0,0
R00272,household,2,False,False,False,True,False,False,False,19.89896557003985,1,0,0.0,0
R00273,household,2,False,True,True,False,False,True,False,19.810879830889604,0,1,0.0,0
R00274,household,1,True,True,False,True,False,False,False,30.559009853583568,1,0,0.0,0
R00275,household,1,True,False,True,True,False,False,False,27.440129414851455,1,1,0.0,0
R00276,household,3,False,False,False,False,False,True,False,21.928182764687755,0,0,0.0,0
R00277,household,3,False,False,False,False,False,True,True,21.631663983258072,0,0,0.0,0
R00278,provider,1,False,False,False,True,False,False,False,11.325531168099491,1,0,1.0,0
R00279,household,3,False,False,True,False,False,False,False,25.14685771853319,1,0,0.0,0
R00280,provider,3,False,False,False,False,False,False,False,19.57649535088283,0,0,1.0,0
R00281,provider,3,True,False,False,True,False,False,False,20.880860420349666,1,0,1.0,0
R00282,household,2,False,False,True,False,False,True,False,6.993276160659181,0,1,0.0,0
R00283,provider,3,False,False,False,False,False,False,False,23.564630889349083,0,0,1.0,0
R00284,provider,2,False,True,True,False,False,False,False,20.726522029286176,0,0,2.0,1
R00285,household,2,False,True,False,False,False,True,True,21.84419343448586,0,0,0.0,0
R00286,household,3,True,True,True,False,False,True,False,18.86316631141812,1,1,0.0,0
R00287,household,3,True,False,False,False,False,False,False,19.582303226139118,1,0,0.0,0
R00288,provider,3,True,False,False,False,False,False,False,18.31480079013746,0,0,1.0,0
R00289,household,2,False,True,True,False,False,True,True,28.05859131817752,0,1,0.0,0
R00290,provider,3,False,False,False,True,False,True,True,24.632239141725403,0,0,2.0,1
R00291,provider,1,True,False,False,False,False,False,False,16.48813573075869,0,0,1.0,0
R00292,household,1,False,True,True,False,False,True,False,19.341516142078927,0,0,0.0,0
R00293,provider,2,True,False,False,False,False,False,False,26.828951837958943,1,0,1.0,0
R00294,provider,1,False,False,False,False,True,False,False,2.6000493544122136,0,0,3.0,1
R00295,provider,3,False,False,False,False,False,False,False,16.578898412941896,0,0,1.0,0
R00296,household,3,False,False,False,False,False,True,True,31.365646611040912,0,0,0.0,0
R00297,household,2,True,False,False,True,False,False,False,19.775963938122597,0,0,0.0,0
R00298,provider,2,False,False,False,False,True,True,True,23.60901134340197,0,0,3.0,1
R00299,household,3,True,False,False,True,False,True,False,11.137238755003914,0,1,0.0,0
R00300,household,3,False,False,False,False,False,True,False,21.779781045233577,0,0,0.0,0
R00301,household,2,True,True,False,False,False,True,False,29.920731405457985,0,0,0.0,0
R00302,household,3,True,True,False,True,False,False,False,8.796831570503175,1,0,0.0,0
R00303,household,2,False,False,True,False,False,True,False,24.460607723321747,0,0,0.0,0
R00304,household,1,True,False,False,True,False,False,False,16.028848661262636,1,0,0.0,0
R00305,household,1,False,False,False,False,False,True,False,19.642300609043815,1,1,0.0,0
R00306,provider,2,False,False,True,True,False,False,False,11.682608935776306,1,0,0.0,0
R00307,household,3,True,False,False,False,False,False,False,15.99326296586474,0,0,0.0,0
R00308,provider,2,True,False,True,True,False,True,False,29.89193665758924,1,0,1.0,0
R00309,provider,2,False,False,True,False,False,True,False,23.832179698278612,0,0,1.0,0
R00310,household,1,True,True,False,False,False,False,False,28.393869632459666,0,0,0.0,0
R00311,household,2,True,False,False,False,False,False,False,25.064471333866162,1,0,0.0,0
R00312,household,1,False,False,False,False,False,False,True,29.19300318144458,0,0,0.0,0
R00313,household,1,False,False,True,False,False,False,True,39.20117642081388,0,1,0.0,0
R00314,household,2,True,True,True,True,False,False,False,20.633958952429793,0,1,0.0,0
R00315,provider,2,False,False,True,False,False,True,False,24.939250773107553,0,0,1.0,0
R00316,household,3,False,False,False,False,False,False,False,16.22057427879175,0,0,0.0,0
R00317,provider,2,True,False,False,False,True,False,False,18.39927489515523,0,0,2.0,1
R00318,household,1,False,True,True,False,False,False,True,22.625421698047692,0,1,0.0,0
R00319,household,2,False,False,True,True,False,True,True,37.45858976432531,0,0,0.0,0
R00320,household,1,True,True,False,True,False,False,False,10.930178261310807,1,0,0.0,0
R00321,provider,2,True,False,False,False,False,False,False,22.69410205450597,0,0,-0.0,0
R00322,provider,2,False,False,False,False,False,True,False,18.95623656742912,0,0,2.0,1
R00323,provider,1,False,True,True,False,False,False,False,25.027482560803918,0,0,0.0,0
R00324,provider,1,False,False,False,True,False,False,False,22.50521393238756,0,0,2.0,1
R00325,household,3,False,False,False,False,False,True,True,33.22387398927675,1,0,0.0,0
R00326,household,1,True,False,True,True,False,True,True,32.97558084127879,1,1,0.0,0
R00327,household,2,True,False,False,True,False,False,False,8.567758466080555,1,0,0.0,0
R00328,provider,3,False,False,False,False,False,False,False,17.598280962610794,0,0,1.0,0
R00329,household,1,True,False,False,True,False,False,True,19.306904586817623,1,0,0.0,0
R00330,provider,2,False,False,True,False,False,False,False,14.890320945802351,1,0,1.0,0
R00331,household,3,False,False,False,False,False,False,False,27.06737059966033,0,0,0.0,0
R00332,household,2,True,False,False,False,False,False,False,21.825202865386174,0,0,0.0,0
R00333,household,2,False,False,False,False,False,True,False,17.334978242821386,0,0,0.0,0
R00334,household,1,True,False,True,False,False,False,True,19.850488921445322,0,0,0.0,0
R00335,household,3,False,True,False,True,False,True,False,20.774025299042243,1,0,0.0,0
R00336,household,2,False,False,False,False,False,False,False,10.700639103713232,0,0,0.0,0
R00337,household,3,True,False,True,True,False,False,False,13.973158335620514,1,1,0.0,0
R00338,household,3,True,False,False,True,False,False,False,19.872056829307464,1,0,0.0,0
R00339,household,3,True,True,True,True,False,False,False,24.931872216640176,0,1,0.0,0
